id,conName,start_date,end_date,year,event_location,city,state,state_abrev,country,website
72,Kuya's Collectibles Show ,2023-12-09,2023-12-09,2023,Niagara Falls Convention Centre,Niagara Falls,Ontario,ON,Canada,www.kuyascollectibles.com/
73,LouisvilleCon ,2023-12-09,2023-12-09,2023,Triple Crown Pavilion,Jeffersontown,Kentucky,KY,USA,http://louisvillecon.com/
74,Ocean City Comic Con ,2023-12-09,2023-12-09,2023,Roland E. Powell Convention Center,Ocean City,Maryland,MD,USA,https://oceancitycomiccon.com/
75,Delhi Comic Con ,2023-12-09,2023-12-11,2023,NSIC Exhibition Ground,New Delhi,Delhi,DL,India,www.comicconindia.com/all-cities-main-page/delhi
76,Comic Con Stuttgart ,2023-12-09,2023-12-10,2023,Landesmesse Stuttgart,Stuttgart,---,---,Germany,https://www.comiccon.de/
77,Comic World Taiwan ,2023-12-09,2023-12-10,2023,NTU Sports Center,Taipei,---,---,Taiwan,https://www.comicworld.com.tw/Act1/143
78,QuadCon Davenport ,2023-12-09,2023-12-10,2023,NorthPark Mall,Davenport,Iowa,IA,USA,https://quadcitycon.com/
79,Capital Trade Shows ,2023-12-10,2023-12-10,2023,Nepean Sportsplex,Nepean,Ontario,ON,Canada,capitaltradeshows.com/
80,Comic Book & Non-Sports Card Show ,2023-12-10,2023-12-10,2023,Annandale Volunteer Fire Department,Annandale,Virginia,VA,USA,https://shoffpromotions.com/
81,Jim & Dan Comic & Toy Show ,2023-12-10,2023-12-10,2023,Wright State University Student Union,Fairborn,Ohio,OH,USA,https://jimanddancomics.com/shows
82,Big Apple Comic Con ,2023-12-16,2023-12-16,2023,The New Yorker Hotel,New York,New York,NY,USA,https://bigapplecc.com/
83,Springfield Toy & Comic Show ,2023-12-16,2023-12-16,2023,Clark County Fairgrounds - Mercantile Building,Springfield,Ohio,OH,USA,www.springfieldtoyshow.com/
84,QuadCon Des Moines ,2023-12-16,2023-12-17,2023,Merle Hay Mall,Des Moines,Iowa,IA,USA,https://quadcitycon.com/
85,Toronto Comic Book Show ,2023-12-27,2023-12-27,2023,Montecassino Hotel and Event Centre,Toronto,Ontario,ON,Canada,https://torontocomicbookshow.com/
86,Comic Market ,2023-12-30,2023-12-31,2023,Tokyo Big Sight,Tokyo,---,---,Japan,https://www.comiket.co.jp/
87,Fan Expo New Orleans ,2027-01-08,2027-01-10,2027,New Orleans Ernest N. Morial Center,New Orleans,Louisiana,LA,USA,https://fanexpohq.com/fanexponeworleans/
88,FT-LauderdaleCon ,2024-01-07,2024-01-07,2024,Embassy Suites by 17th Street,Fort Lauderdale,Florida,FL,USA,http://ftlauderdalecon.com/
89,Fan Expo Portland ,2027-01-29,2027-01-31,2027,Oregon Convention Center,Portland,Oregon,OR,US,https://fanexpohq.com/fanexpoportland/
90,Charlie's Comic Con ,2024-01-13,2024-01-13,2024,Riverside Community Center,Fort Myers,Florida,FL,USA,www.charliescomiccon.com/
91,Wild Con ,2024-01-13,2024-01-13,2024,Wildwood Convention Center,Wildwood,New Jersey,NJ,USA,jerseyshorecomicbookshow.com/wild-con
92,Middle Georgia Comic Convention ,2024-01-13,2024-01-14,2024,Edgar H. Wilson Convention Center,Macon,Georgia,GA,USA,https://midgacomicconvention.com/
93,TriCityComicCon ,2024-01-13,2024-01-14,2024,Polk County Commerce Center,Livingston,Texas,TX,USA,https://www.myticketing.pro/event/tricitycomiccon
94,NorthernKyCon ,2024-01-14,2024-01-14,2024,Marriott Cincinnati Airport,Hebron,Kentucky,KY,USA,https://northernkycon.com/
