row_number,row_id,original_name,original_website,source_used,fetch_status,confidence,fields_updated,fields_left_unknown,old_values,new_values,warnings,notes,timestamp_utc
103,103,MegaCon Orlando,fanexpohq.com/megaconorlando/,website,ok,HIGH,start_date;end_date;year;website,,"{""end_date"": ""February 4"", ""start_date"": ""February 1"", ""website"": ""fanexpohq.com/megaconorlando/"", ""year"": ""2024""}","{""end_date"": ""2027-05-23"", ""start_date"": ""2027-05-20"", ""website"": ""https://fanexpohq.com/megaconorlando/"", ""year"": ""2027""}",event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:50:47
104,104,LumaCon,www.lumacon.net/,website,ok,NONE,,,{},{},start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:50:48
105,105,TulsaPopCon,tulsapopcon.com/,none,failed,NONE,,,{},{},"Failed to fetch https://tulsapopcon.com/: HTTPSConnectionPool(host='tulsapopcon.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='tulsapopcon.com', port=443): Failed to resolve 'tulsapopcon.com' ([Errno 11001] getaddrinfo failed)"")) | Attempted URL variants: https://tulsapopcon.com/, https://www.tulsapopcon.com/, http://tulsapopcon.com/, http://www.tulsapopcon.com/ | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence",,2026-05-08T16:50:50
106,106,East Bay Comic-Con,eastbaycomiccon.com/,website,ok,HIGH,website,,"{""website"": ""eastbaycomiccon.com/""}","{""website"": ""https://eastbaycomiccon.com/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:50:51
107,107,MissouriCon,www.missouricon.com/,website,partial,HIGH,website,,"{""website"": ""www.missouricon.com/""}","{""website"": ""http://www.missouricon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:50:58
108,108,QuadCon Cedar Rapids,quadcitycon.com/,website,ok,HIGH,website,,"{""website"": ""quadcitycon.com/""}","{""website"": ""https://quadcitycon.com/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:50:58
109,109,ConVoluted Con Cruise,www.facebook.com/groups/1967851583441155,website,ok,NONE,,,{},{},start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:50:59
110,110,Beyond Comicon,beyondcomicon.com/,website,ok,NONE,,,{},{},Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:51:03
111,111,Cosmic Con NY,cosmicconny.com/,website,ok,HIGH,website,,"{""website"": ""cosmicconny.com/""}","{""website"": ""https://cosmicconny.com/""}",Visible page text: Date found but not clearly tied to the convention context. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:04
112,112,QuadCon Peoria,quadcitycon.com/,website,ok,HIGH,website,,"{""website"": ""quadcitycon.com/""}","{""website"": ""https://quadcitycon.com/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:04
