row_number,row_id,original_name,original_website,source_used,fetch_status,confidence,fields_updated,fields_left_unknown,old_values,new_values,warnings,notes,timestamp_utc
135,135,Collingwood ComiCon,www.popculturecanada.ca/,website,ok,HIGH,website,,"{""website"": ""www.popculturecanada.ca/""}","{""website"": ""https://www.popculturecanada.ca/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:34
136,136,RodCon,rodcon.library.uni.edu/,website,ok,HIGH,website,,"{""website"": ""rodcon.library.uni.edu/""}","{""website"": ""https://rodcon.library.uni.edu/""}",Open Graph/meta tags: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:35
137,137,Fan Expo Cleveland,fanexpohq.com/fanexpocleveland/,website,ok,HIGH,start_date;end_date;year;country;website,,"{""country"": ""USA"", ""end_date"": ""April 14"", ""start_date"": ""April 12"", ""website"": ""fanexpohq.com/fanexpocleveland/"", ""year"": ""2024""}","{""country"": ""US"", ""end_date"": ""2027-03-14"", ""start_date"": ""2027-03-12"", ""website"": ""https://fanexpohq.com/fanexpocleveland/"", ""year"": ""2027""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:51:36
138,138,Napanee ComiCon,www.popculturecanada.ca/,website,ok,HIGH,website,,"{""website"": ""www.popculturecanada.ca/""}","{""website"": ""https://www.popculturecanada.ca/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:36
139,139,Peli Con,www.marvelouscomiccloset.com/pelicon,website,ok,HIGH,website,,"{""website"": ""www.marvelouscomiccloset.com/pelicon""}","{""website"": ""https://www.marvelouscomiccloset.com/pelicon""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:37
140,140,QuadCon St. Cloud,quadcitycon.com/,website,ok,HIGH,website,,"{""website"": ""quadcitycon.com/""}","{""website"": ""https://quadcitycon.com/""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:37
141,141,Yellow City Comic Convention,yellowcitycon.com/,website,ok,HIGH,website,,"{""website"": ""yellowcitycon.com/""}","{""website"": ""https://yellowcitycon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:38
142,142,Mid Valley Comic Art Expo,mvcae.com/,website,ok,HIGH,website,,"{""website"": ""mvcae.com/""}","{""website"": ""https://mvcae.com/""}",Visible page text: Vague/ambiguous date detected ('to be announced'). | Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:39
143,143,HCLS Fan Fest,hcls.info/fan-fest,website,ok,HIGH,website,,"{""website"": ""hcls.info/fan-fest""}","{""website"": ""https://hcls.info/fan-fest""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:41
144,144,Kingston ComiCon,www.popculturecanada.ca/,website,ok,HIGH,website,,"{""website"": ""www.popculturecanada.ca/""}","{""website"": ""https://www.popculturecanada.ca/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:41
145,145,Calgary Expo,fanexpohq.com/calgaryexpo/,website,ok,HIGH,start_date;end_date;year;website,,"{""end_date"": ""April 28"", ""start_date"": ""April 25"", ""website"": ""fanexpohq.com/calgaryexpo/"", ""year"": ""2024""}","{""end_date"": ""2027-04-25"", ""start_date"": ""2027-04-22"", ""website"": ""https://fanexpohq.com/calgaryexpo/"", ""year"": ""2027""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:51:41
146,146,Lvl Up Expo,lvlupexpo.com/,website,ok,HIGH,website,,"{""website"": ""lvlupexpo.com/""}","{""website"": ""https://lvlupexpo.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:43
147,147,Four State Comic-Con,www.fourstatecon.com/,website,ok,NONE,,,{},{},start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:51:45
148,148,Fan Expo Philadelphia,fanexpohq.com/fanexpophiladelphia/,website,ok,HIGH,start_date;end_date;year;city;country;website,,"{""city"": ""Philadelphia"", ""country"": ""USA"", ""end_date"": ""May 5"", ""start_date"": ""May 3"", ""website"": ""fanexpohq.com/fanexpophiladelphia/"", ""year"": ""2024""}","{""city"": ""Philadelphia PA"", ""country"": ""US"", ""end_date"": ""2026-05-31"", ""start_date"": ""2026-05-29"", ""website"": ""https://fanexpohq.com/fanexpophiladelphia/"", ""year"": ""2026""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:51:45
149,149,Metrotham Con,metrothamcon.com/,website,ok,HIGH,website,,"{""website"": ""metrothamcon.com/""}","{""website"": ""https://metrothamcon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:46
150,150,"Eckman's Card, Comic & Toy Show",eckmanstoyshow.com/,website,ok,HIGH,website,,"{""website"": ""eckmanstoyshow.com/""}","{""website"": ""https://eckmanstoyshow.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:46
151,151,Comic Con Revolution,www.comicconrevolution.com/ontario/,website,ok,NONE,,,{},{},Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:51:48
152,152,Thy Geekdom Con,thygeekdomcon.com/,website,ok,HIGH,website,,"{""website"": ""thygeekdomcon.com/""}","{""website"": ""https://thygeekdomcon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:51:49
153,153,RochesterCon,www.therochestercon.com/,website,partial,HIGH,website,,"{""website"": ""www.therochestercon.com/""}","{""website"": ""http://www.therochestercon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:52:04
154,154,3 Rivers Comicon,3riverscomicon.com/,website,ok,HIGH,website,,"{""website"": ""3riverscomicon.com/""}","{""website"": ""https://3riverscomicon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:52:06
155,155,Fan Expo Dallas,fanexpohq.com/fanexpodallas/,website,ok,HIGH,start_date;end_date;year;city;country;website,,"{""city"": ""Dallas"", ""country"": ""USA"", ""end_date"": ""June 9"", ""start_date"": ""June 7"", ""website"": ""fanexpohq.com/fanexpodallas/"", ""year"": ""2024""}","{""city"": ""Dallas TX"", ""country"": ""US"", ""end_date"": ""2026-09-13"", ""start_date"": ""2026-09-11"", ""website"": ""https://fanexpohq.com/fanexpodallas/"", ""year"": ""2026""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:52:06
156,156,Washington State Summer Con,www.wasummercon.com/,website,ok,HIGH,website,,"{""website"": ""www.wasummercon.com/""}","{""website"": ""https://www.wasummercon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:52:08
157,157,Kelowna ComiCon,www.kelownacomicon.com/,website,ok,NONE,,,{},{},Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:52:08
158,158,Shenanicon,shenanicon.com/,website,ok,NONE,,,{},{},start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:52:09
159,159,Fan Expo Boston,fanexpohq.com/fanexpoboston/,website,ok,HIGH,start_date;end_date;year;city;country;website,,"{""city"": ""Boston"", ""country"": ""USA"", ""end_date"": ""June 30"", ""start_date"": ""June 28"", ""website"": ""fanexpohq.com/fanexpoboston/"", ""year"": ""2024""}","{""city"": ""Boston MA"", ""country"": ""US"", ""end_date"": ""2026-08-09"", ""start_date"": ""2026-08-07"", ""website"": ""https://fanexpohq.com/fanexpoboston/"", ""year"": ""2026""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:52:09
160,160,Hershey Comic Con,hersheycomiccon.weebly.com/,website,ok,HIGH,website,,"{""website"": ""hersheycomiccon.weebly.com/""}","{""website"": ""https://hersheycomiccon.weebly.com/""}",Visible page text: Vague/ambiguous date detected ('TBD'). | Visible page text: Vague/ambiguous date detected ('TO BE ANNOUNCED'). | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:52:10
161,161,Fan Expo Denver,fanexpohq.com/fanexpodenver/,website,ok,HIGH,start_date;end_date;year;city;country;website,,"{""city"": ""Denver"", ""country"": ""USA"", ""end_date"": ""July 7"", ""start_date"": ""July 4"", ""website"": ""fanexpohq.com/fanexpodenver/"", ""year"": ""2024""}","{""city"": ""Denver CO"", ""country"": ""US"", ""end_date"": ""2026-05-31"", ""start_date"": ""2026-05-28"", ""website"": ""https://fanexpohq.com/fanexpodenver/"", ""year"": ""2026""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:52:11
162,162,Infinity Con Tallahassee,www.infinitycon.com/tally,website,ok,HIGH,website,,"{""website"": ""www.infinitycon.com/tally""}","{""website"": ""https://www.infinitycon.com/tally""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:52:12
163,163,NiagaraCon,theniagaracon.com/,website,partial,HIGH,website,,"{""website"": ""theniagaracon.com/""}","{""website"": ""http://theniagaracon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:52:38
164,164,Wicked Comic Con,www.wickedcomiccon.com/,website,ok,HIGH,website,,"{""website"": ""www.wickedcomiccon.com/""}","{""website"": ""https://www.wickedcomiccon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:52:39
165,165,Fan Expo Chicago,fanexpohq.com/fanexpochicago/,website,ok,HIGH,start_date;end_date;year;city;country;website,,"{""city"": ""Rosemont"", ""country"": ""USA"", ""end_date"": ""August 18"", ""start_date"": ""August 16"", ""website"": ""fanexpohq.com/fanexpochicago/"", ""year"": ""2024""}","{""city"": ""Chicago IL"", ""country"": ""US"", ""end_date"": ""2026-08-16"", ""start_date"": ""2026-08-14"", ""website"": ""https://fanexpohq.com/fanexpochicago/"", ""year"": ""2026""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:52:40
166,166,Collingwood ComiCon,www.popculturecanada.ca/,website,ok,HIGH,website,,"{""website"": ""www.popculturecanada.ca/""}","{""website"": ""https://www.popculturecanada.ca/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:52:40
167,167,Las Cruces Comic Con,lascrucescomiccon.com/,website,partial,NONE,,,{},{},Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:53:31
168,168,Fan Expo Canada,fanexpohq.com/fanexpocanada/,website,ok,HIGH,year;website,,"{""website"": ""fanexpohq.com/fanexpocanada/"", ""year"": ""2024""}","{""website"": ""https://fanexpohq.com/fanexpocanada/"", ""year"": ""2026""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:31
169,169,Hub City Comic Con,hubcitycomiccon.com/,website,ok,HIGH,website,,"{""website"": ""hubcitycomiccon.com/""}","{""website"": ""https://hubcitycomiccon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:36
170,170,Harrisburg Comic & Pop Con,www.fourstatecon.com/harrisburg,website,ok,HIGH,website,,"{""website"": ""www.fourstatecon.com/harrisburg""}","{""website"": ""https://www.fourstatecon.com/harrisburg""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:37
171,171,Comic Con Northern Ireland,www.comicconnorthernireland.co.uk/,website,ok,HIGH,state,,"{""state"": ""---""}","{""state"": ""Northern Ireland""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:53:38
172,172,Ultracon,ultraconcity.com/,website,ok,NONE,,,{},{},Visible page text: Vague/ambiguous date detected ('COMING SOON'). | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:53:40
173,173,Kingston ComiCon,www.popculturecanada.ca/,website,ok,HIGH,website,,"{""website"": ""www.popculturecanada.ca/""}","{""website"": ""https://www.popculturecanada.ca/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:40
174,174,The Uncanny Experience,theuncannyexperience.com/,website,ok,HIGH,website,,"{""website"": ""theuncannyexperience.com/""}","{""website"": ""https://theuncannyexperience.com/""}",Visible page text: Vague/ambiguous date detected ('to be Announced'). | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:42
175,175,"Eckman's Card, Comic & Toy Show",eckmanstoyshow.com/,website,ok,HIGH,website,,"{""website"": ""eckmanstoyshow.com/""}","{""website"": ""https://eckmanstoyshow.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:42
176,176,Alamo City Comic Con,alamocitycomiccon.com/,website,ok,NONE,,,{},{},Visible page text: Vague/ambiguous date detected ('Coming soon'). | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:53:43
177,177,Baltimore Comic-Con,baltimorecomiccon.com/,website,ok,HIGH,website,,"{""website"": ""baltimorecomiccon.com/""}","{""website"": ""https://baltimorecomiccon.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:44
178,178,Big Apple Comic Con,bigapplecc.com/,website,ok,HIGH,website,,"{""website"": ""bigapplecc.com/""}","{""website"": ""https://bigapplecc.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:45
179,179,Chicago Comic & Entertainment Expo,www.c2e2.com/,website,ok,HIGH,year,,"{""year"": ""2024""}","{""year"": ""2027""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:53:46
180,180,Comicpalooza,www.comicpalooza.com/,website,ok,HIGH,website,,"{""website"": ""www.comicpalooza.com/""}","{""website"": ""https://www.comicpalooza.com/""}",start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:48
181,181,Dallas Comic Con,fanexpohq.com/fanexpodallas/,website,ok,HIGH,start_date;end_date;year;city;country;website,,"{""city"": ""Dallas"", ""country"": ""USA"", ""end_date"": ""June 9"", ""start_date"": ""June 7"", ""website"": ""fanexpohq.com/fanexpodallas/"", ""year"": ""2024""}","{""city"": ""Dallas TX"", ""country"": ""US"", ""end_date"": ""2026-09-13"", ""start_date"": ""2026-09-11"", ""website"": ""https://fanexpohq.com/fanexpodallas/"", ""year"": ""2026""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:53:48
182,182,Denver Pop Culture Con,fanexpohq.com/fanexpodenver/,website,ok,HIGH,start_date;end_date;year;city;country;website,,"{""city"": ""Denver"", ""country"": ""USA"", ""end_date"": ""July 7"", ""start_date"": ""July 4"", ""website"": ""fanexpohq.com/fanexpodenver/"", ""year"": ""2024""}","{""city"": ""Denver CO"", ""country"": ""US"", ""end_date"": ""2026-05-31"", ""start_date"": ""2026-05-28"", ""website"": ""https://fanexpohq.com/fanexpodenver/"", ""year"": ""2026""}",event_location: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence,,2026-05-08T16:53:48
183,183,Dragon Con,www.dragoncon.org/,website,ok,NONE,,,{},{},Visible page text: Date text contains month words but could not be parsed safely. | start_date: kept existing value due to insufficient new evidence | end_date: kept existing value due to insufficient new evidence | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence | website: kept existing value due to insufficient new evidence,,2026-05-08T16:53:49
184,184,East Coast Black Age of Comics Convention,www.ecbacc.com/,website,ok,HIGH,website,start_date;end_date,"{""end_date"": ""TBA"", ""start_date"": ""TBA"", ""website"": ""www.ecbacc.com/""}","{""end_date"": ""**"", ""start_date"": ""**"", ""website"": ""https://ecbacc2025.powerappsportals.com""}",Visible page text: Date text contains month words but could not be parsed safely. | start_date: no verifiable candidates | end_date: no verifiable candidates | year: kept existing value due to insufficient new evidence | event_location: kept existing value due to insufficient new evidence | city: kept existing value due to insufficient new evidence | state: kept existing value due to insufficient new evidence | state_abrev: kept existing value due to insufficient new evidence | country: kept existing value due to insufficient new evidence,,2026-05-08T16:53:51
